"","Param","Mean","Median","CI","CI_low","CI_high","Gelman"
"1","alpha0[1]",-1.11233607714162,-1.12342949967953,0.89,-1.56660081465196,-0.637044179867632,1
"2","alpha0[2]",-1.19516717607243,-1.19742100747105,0.89,-1.58087524040867,-0.779725019507724,1.011
"3","alpha0[3]",-1.37932134174754,-1.38460358969414,0.89,-1.69481910733199,-1.05837418739354,1.009
"4","alpha0[4]",-1.86401291997349,-1.86029677104016,0.89,-2.21548744250111,-1.53031798286935,1.002
"5","alpha0[5]",-1.82101436071592,-1.82555940321818,0.89,-2.1181257551647,-1.52167728501603,1.013
"6","alpha0[6]",-1.64282907319317,-1.6403736191148,0.89,-2.10324991921628,-1.18773195035272,1.019
"7","alpha0[7]",-1.47571839446844,-1.47885776136362,0.89,-1.84126080091689,-1.10384418505594,1.018
"8","alpha0[8]",-1.10461235954374,-1.10804633795288,0.89,-1.51909299032915,-0.667815993089313,1.001
"9","alpha0[9]",-1.3852280916918,-1.38782016860003,0.89,-1.84351040055397,-0.917740191605734,1.009
"10","alpha0[10]",-1.28256863007025,-1.29812207822018,0.89,-1.77098412569837,-0.76781944143828,1.011
"11","alpha1",0.368017766657632,0.364269018403378,0.89,0.192449200211897,0.55011032309593,1.004
"12","alpha2",-0.41538759581878,-0.413088225389541,0.89,-0.516395519635916,-0.323743712845587,1.007
"13","alpha3",0.560287329475797,0.559370715639606,0.89,0.457027046154208,0.662771800367487,1
"14","alpha4",-0.17788840080225,-0.177442698124694,0.89,-0.292899967737565,-0.0617488178948965,0.994
"15","alpha5",0.142599547968431,0.141009140939273,0.89,0.0578057472213337,0.231332016651294,1.01
"16","beta0",-1.11951607537869,-1.11875506240929,0.89,-1.30150303454971,-0.938969665562026,1.016
"17","beta1",0.197928414980161,0.19741470864683,0.89,0.107536125114682,0.289121722400863,1.001
"18","mu_a0",-1.42379390010937,-1.42720656174717,0.89,-1.72457915960284,-1.12206091082759,1.008
"19","sig_a0",0.412309573137753,0.381616643886199,0.89,0.215117095936966,0.708871179644561,1.018
